instance_id,seed,depot_id,base_all_cv_routes_Rd,num_cv,num_ev,total_fleet_cap,routes_used,cv_used,ev_used,cv_idle,ev_idle,total_idle,required_ev_by_completer
cn-jjj-100c-02-V2-LOCATIONS,2,D_tianjin,5,5,2,7,5,5,0,0,2,2,0
cn-jjj-100c-02-V2-LOCATIONS,3,D_beijing,13,13,4,17,12,11,1,2,3,5,0
cn-jjj-100c-02-V2-LOCATIONS,3,D_tianjin,5,5,2,7,5,5,0,0,2,2,0
cn-jjj-100c-02-V2-LOCATIONS,4,D_beijing,13,13,4,17,12,11,1,2,3,5,0
cn-jjj-100c-02-V2-LOCATIONS,4,D_tianjin,5,5,2,7,5,5,0,0,2,2,0
cn-jjj-100c-02-V2-LOCATIONS,5,D_beijing,13,13,4,17,12,11,1,2,3,5,0
cn-jjj-100c-02-V2-LOCATIONS,5,D_tianjin,5,5,2,7,5,5,0,0,2,2,0
cn-jjj-100c-03-V2-LOCATIONS,1,D_beijing,13,13,4,17,12,12,0,1,4,5,0
cn-jjj-100c-03-V2-LOCATIONS,1,D_tianjin,5,5,2,7,5,4,1,1,1,2,0
cn-jjj-100c-03-V2-LOCATIONS,2,D_beijing,13,13,4,17,12,12,0,1,4,5,0
cn-jjj-100c-03-V2-LOCATIONS,2,D_tianjin,5,5,2,7,5,4,1,1,1,2,0
cn-jjj-100c-03-V2-LOCATIONS,3,D_beijing,13,13,4,17,12,12,0,1,4,5,0
cn-jjj-100c-03-V2-LOCATIONS,3,D_tianjin,5,5,2,7,5,4,1,1,1,2,0
cn-jjj-100c-03-V2-LOCATIONS,4,D_beijing,13,13,4,17,12,12,0,1,4,5,0
cn-jjj-100c-03-V2-LOCATIONS,4,D_tianjin,5,5,2,7,5,4,1,1,1,2,0
cn-jjj-100c-03-V2-LOCATIONS,5,D_beijing,13,13,4,17,12,12,0,1,4,5,0
cn-jjj-100c-03-V2-LOCATIONS,5,D_tianjin,5,5,2,7,5,4,1,1,1,2,0
cn-jjj-10c-01-V2-LOCATIONS,1,D_beijing,2,2,1,3,2,2,0,0,1,1,0
cn-jjj-10c-01-V2-LOCATIONS,2,D_beijing,2,2,1,3,2,2,0,0,1,1,0
cn-jjj-10c-01-V2-LOCATIONS,3,D_beijing,2,2,1,3,2,2,0,0,1,1,0
cn-jjj-10c-01-V2-LOCATIONS,4,D_beijing,2,2,1,3,2,2,0,0,1,1,0
cn-jjj-10c-01-V2-LOCATIONS,5,D_beijing,2,2,1,3,2,2,0,0,1,1,0
cn-jjj-10c-02-V2-LOCATIONS,1,D_beijing,2,2,1,3,2,1,1,1,0,1,0
cn-jjj-10c-02-V2-LOCATIONS,2,D_beijing,2,2,1,3,2,1,1,1,0,1,0
cn-jjj-10c-02-V2-LOCATIONS,3,D_beijing,2,2,1,3,2,1,1,1,0,1,0
cn-jjj-10c-02-V2-LOCATIONS,4,D_beijing,2,2,1,3,2,1,1,1,0,1,0
cn-jjj-10c-02-V2-LOCATIONS,5,D_beijing,2,2,1,3,2,1,1,1,0,1,0
cn-jjj-10c-03-V2-LOCATIONS,1,D_beijing,3,3,1,4,2,1,1,2,0,2,0
cn-jjj-10c-03-V2-LOCATIONS,2,D_beijing,3,3,1,4,2,1,1,2,0,2,0
cn-jjj-10c-03-V2-LOCATIONS,3,D_beijing,3,3,1,4,2,1,1,2,0,2,0
