budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
8000,multidepot,e2-multidepot-20c-01,3,705.750850756463,705.750850756463,0.0,0,0.0,705.750850756463,705.750850756463,0.0,0,0.0
8000,multidepot,e2-multidepot-50c-01,1,1265.940126840263,1265.940126840263,0.0,0,0.0,1265.940126840263,1265.940126840263,0.0,0,0.0
8000,multidepot,e2-multidepot-50c-01,2,1192.7479646155844,1192.7479646155844,0.0,0,0.0,1192.7479646155844,1192.7479646155844,0.0,0,0.0
8000,multidepot,e2-multidepot-50c-01,3,1218.998175219693,1218.998175219693,0.0,0,0.0,1218.998175219693,1218.998175219693,0.0,0,0.0
8000,multidepot,e2-multidepot-75c-01,1,2031.5906719071968,2031.5906719071968,0.0,0,0.0,2031.5906719071968,2031.5906719071968,0.0,0,0.0
8000,multidepot,e2-multidepot-75c-01,2,2006.8388076374963,2006.8388076374963,0.0,0,0.0,2006.8388076374963,2006.8388076374963,0.0,0,0.0
8000,multidepot,e2-multidepot-75c-01,3,2014.1454028414548,2014.1454028414548,0.0,0,0.0,2014.1454028414548,2014.1454028414548,0.0,0,0.0
8000,threeshift,e2-threeshift-100c-01,1,2702.079682384095,2702.079682384095,0.0,0,0.0,2702.079682384095,2702.079682384095,0.0,0,0.0
8000,threeshift,e2-threeshift-100c-01,2,2704.026139688854,2704.026139688854,0.0,0,0.0,2704.026139688854,2704.026139688854,0.0,0,0.0
8000,threeshift,e2-threeshift-100c-01,3,2758.7475529843446,2758.7475529843446,0.0,0,0.0,2758.7475529843446,2758.7475529843446,0.0,0,0.0
8000,threeshift,e2-threeshift-150c-01,1,3901.223314120109,3901.223314120109,0.0,0,0.0,3901.223314120109,3901.223314120109,0.0,0,0.0
8000,threeshift,e2-threeshift-150c-01,2,3951.232915142993,3951.232915142993,0.0,0,0.0,3951.232915142993,3951.232915142993,0.0,0,0.0
8000,threeshift,e2-threeshift-150c-01,3,3899.3223684183135,3899.3223684183135,0.0,0,0.0,3899.3223684183135,3899.3223684183135,0.0,0,0.0
8000,threeshift,e2-threeshift-50c-01,1,1352.8899307919728,1352.8899307919728,0.0,0,0.0,1352.8899307919728,1352.8899307919728,0.0,0,0.0
8000,threeshift,e2-threeshift-50c-01,2,1334.4596675803778,1334.4596675803778,0.0,0,0.0,1334.4596675803778,1334.4596675803778,0.0,0,0.0
