instance_id,source,source_kind,source_objective,route_first,route_second,source_adjacent,fallback_columns,fallback_objective,generated_segments,generated_options_before_dedup,columns_after_dedup,selected_routes,mip_status_class,mip_gap,mip_seconds,local_delta,exact_evaluated,candidate_objective,exact_improvement
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,7,False,2,583.5373598556994,86,544,274,2,OPTIMAL,0.0,0.007872415997553617,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,8,False,2,576.7957336929452,128,880,442,2,OPTIMAL,0.0,0.013442749972455204,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,9,False,2,596.3223982210352,112,728,366,2,OPTIMAL,0.0,0.010267000005114824,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,10,False,2,584.1441270694611,128,844,424,2,OPTIMAL,0.0,0.01141462504165247,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,11,False,2,572.1347171457465,112,728,366,2,OPTIMAL,0.0,0.010525749996304512,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,12,False,2,579.0812831485475,98,628,316,2,OPTIMAL,0.0,0.009928749990649521,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,13,False,2,593.3020048102346,128,856,430,2,OPTIMAL,0.0,0.011950124986469746,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,14,False,2,565.6496750433955,86,556,280,2,OPTIMAL,0.0,0.008601042034570128,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,3,True,2,603.5943434008409,72,456,230,2,OPTIMAL,0.0,0.007304958999156952,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,4,False,2,602.6709983390203,102,636,320,2,OPTIMAL,0.0,0.008986125001683831,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,5,False,2,617.6688255821671,86,544,274,2,OPTIMAL,0.0,0.008980208018328995,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,6,False,2,542.3759606190335,72,516,260,2,OPTIMAL,0.0,0.006317958002910018,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,7,False,2,574.225917390544,60,348,176,2,OPTIMAL,0.0,0.005367375037167221,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,8,False,2,567.4842912277899,102,684,344,2,OPTIMAL,0.0,0.014448125031776726,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,2,9,False,2,587.0109557558799,86,532,268,2,OPTIMAL,0.0,0.009060416021384299,0.0,False,,False
