task_id,phase,budget,instance_id,sample_role,seed,arm,complete_candidate_evaluations_S,last_strict_improvement_evaluation_L,last_strict_improvement_fraction_L_over_S,starved_L_over_S_gt_0_5,wallclock_safety_triggered,elapsed_wall_seconds,elapsed_cpu_seconds,common_initial_solution_sha256,status,scientific_endpoints
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,NL90_mild,56,31,0.5535714285714286,1,0,71.21011124999495,66.39819800000001,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,L100_control,56,55,0.9821428571428571,1,0,70.75724449998233,65.93363299999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,NL90_mild,56,55,0.9821428571428571,1,0,70.11384437500965,65.58005299999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,L100_control,56,47,0.8392857142857143,1,0,74.62185612495523,68.10732900000002,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,NL90_mild,56,47,0.8392857142857143,1,0,74.74758533400018,68.22365899999997,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,L100_control,56,26,0.4642857142857143,0,0,75.23453545896336,68.656329,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,NL90_mild,56,26,0.4642857142857143,0,0,74.85044187499443,68.36883,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,80,cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,L100_control,80,27,0.3375,0,0,159.50880925002275,141.03475099999997,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,80,cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,NL90_mild,80,27,0.3375,0,0,159.5318144170451,141.25351799999999,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,80,cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,L100_control,80,71,0.8875,1,0,159.40760729199974,141.074817,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,80,cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,NL90_mild,80,71,0.8875,1,0,159.8737007919699,141.36088099999995,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
