algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,4,190.0,1237.7297588653091
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-15c-01,0,1021.8545301087881,1021.8545301087881,5,475.0,1496.8545301087881
GA,2185.0,23,0,True,L-main-threeshift-200c-01,0,11729.954469082291,11729.954469082291,1,2185.0,13914.954469082291
GA,2565.0,27,0,True,L-main-threeshift-200c-01,0,11574.220993979847,11574.220993979847,2,2565.0,14139.220993979847
GA,1805.0,19,0,True,L-main-threeshift-200c-01,0,11133.910149959083,11133.910149959083,3,1805.0,12938.910149959083
GA,1520.0,16,0,True,L-main-threeshift-200c-01,0,11879.68572371218,11879.68572371218,4,1520.0,13399.68572371218
GA,1615.0,17,0,True,L-main-threeshift-200c-01,0,11833.349822237928,11833.349822237928,5,1615.0,13448.349822237928
LNS,5415.0,57,0,True,L-main-threeshift-200c-01,0,12549.370852342081,12549.370852342081,1,5414.999999999998,17964.37085234208
LNS,3990.0,42,0,True,L-main-threeshift-200c-01,0,11414.375447054126,11414.375447054126,2,3990.0,15404.375447054126
LNS,2470.0,26,0,True,L-main-threeshift-200c-01,0,12364.525942066744,12364.525942066744,3,2470.0,14834.525942066744
LNS,4085.0,43,0,True,L-main-threeshift-200c-01,0,11872.895261248497,11872.895261248497,4,4085.0,15957.895261248497
LNS,5700.0,60,0,True,L-main-threeshift-200c-01,0,11546.742617691438,11546.742617691438,5,5700.0,17246.742617691438
PSO,665.0,7,0,True,L-main-threeshift-200c-01,0,12504.792913240011,12504.792913240011,1,665.0,13169.792913240011
PSO,2945.0,31,0,True,L-main-threeshift-200c-01,0,12297.351556717507,12297.351556717507,2,2945.0,15242.351556717507
PSO,2470.0,26,0,True,L-main-threeshift-200c-01,0,12106.065688269846,12106.065688269846,3,2470.0,14576.065688269846
PSO,2660.0,28,0,True,L-main-threeshift-200c-01,0,12050.242277073252,12050.242277073252,4,2660.0,14710.242277073252
PSO,3610.0,38,0,True,L-main-threeshift-200c-01,0,12043.919285704998,12043.919285704998,5,3610.0,15653.919285704998
VNS,665.0,7,0,True,L-main-threeshift-200c-01,0,12335.84615585191,12335.84615585191,1,665.0,13000.84615585191
VNS,2945.0,31,0,True,L-main-threeshift-200c-01,0,11042.746301101584,11042.746301101584,2,2945.0,13987.746301101584
VNS,665.0,7,0,True,L-main-threeshift-200c-01,0,12456.121121830432,12456.121121830432,3,665.0,13121.121121830432
VNS,0.0,0,0,True,L-main-threeshift-200c-01,0,12491.267388701732,12491.267388701732,4,0.0,12491.267388701732
VNS,4845.0,51,0,True,L-main-threeshift-200c-01,0,10653.926770580238,10653.926770580238,5,4845.0,15498.926770580238
staged_hybrid_carbon_aware,570.0,6,0,True,L-main-threeshift-200c-01,0,9959.411384897756,9959.411384897756,1,570.0,10529.411384897756
staged_hybrid_carbon_aware,760.0,8,0,True,L-main-threeshift-200c-01,0,9379.951420659501,9379.951420659501,2,760.0,10139.951420659501
staged_hybrid_carbon_aware,0.0,0,0,True,L-main-threeshift-200c-01,0,11934.84958571844,11934.84958571844,3,0.0,11934.84958571844
staged_hybrid_carbon_aware,1045.0,11,0,True,L-main-threeshift-200c-01,0,9291.552003776213,9291.552003776213,4,1045.0,10336.552003776213
staged_hybrid_carbon_aware,1140.0,12,0,True,L-main-threeshift-200c-01,0,10011.878590785618,10011.878590785618,5,1140.0,11151.878590785618
staged_hybrid_carbon_naive,570.0,6,0,True,L-main-threeshift-200c-01,0,9965.439091418293,9965.439091418293,1,570.0,10535.439091418293
staged_hybrid_carbon_naive,760.0,8,0,True,L-main-threeshift-200c-01,0,9384.83863525692,9384.83863525692,2,760.0,10144.83863525692
staged_hybrid_carbon_naive,0.0,0,0,True,L-main-threeshift-200c-01,0,11936.864521205245,11936.864521205245,3,0.0,11936.864521205245
staged_hybrid_carbon_naive,1045.0,11,0,True,L-main-threeshift-200c-01,0,9298.281940010182,9298.281940010182,4,1045.0,10343.281940010182
staged_hybrid_carbon_naive,1140.0,12,0,True,L-main-threeshift-200c-01,0,10019.194356742037,10019.194356742037,5,1140.0,11159.194356742037
GA,570.0,6,0,True,L-main-threeshift-20c-01,0,1391.5413586631269,1391.5413586631269,1,570.0,1961.5413586631269
GA,190.0,2,0,True,L-main-threeshift-20c-01,0,1335.8237852715629,1335.8237852715629,2,190.0,1525.8237852715629
GA,2185.0,23,0,True,L-main-threeshift-20c-01,0,1413.3489529240564,1413.3489529240564,3,2185.0,3598.3489529240564
GA,570.0,6,0,True,L-main-threeshift-20c-01,0,1328.4547292248658,1328.4547292248658,4,570.0,1898.4547292248658
GA,570.0,6,0,True,L-main-threeshift-20c-01,0,1398.799473567855,1398.799473567855,5,570.0,1968.799473567855
LNS,380.0,4,0,True,L-main-threeshift-20c-01,0,1212.8061044633534,1212.8061044633534,1,380.0,1592.8061044633534
LNS,570.0,6,0,True,L-main-threeshift-20c-01,0,1141.8582888961841,1141.8582888961841,2,570.0,1711.8582888961841
LNS,285.0,3,0,True,L-main-threeshift-20c-01,0,1120.9920695142848,1120.9920695142848,3,285.0,1405.9920695142848
LNS,570.0,6,0,True,L-main-threeshift-20c-01,0,1241.7879345432814,1241.7879345432814,4,570.0,1811.7879345432814
LNS,855.0,9,0,True,L-main-threeshift-20c-01,0,1151.2645335973218,1151.2645335973218,5,855.0,2006.2645335973218
PSO,95.0,1,0,True,L-main-threeshift-20c-01,0,1595.370680932995,1595.370680932995,1,95.0,1690.370680932995
PSO,95.0,1,0,True,L-main-threeshift-20c-01,0,1552.4014950851874,1552.4014950851874,2,95.0,1647.4014950851874
PSO,1235.0,13,0,True,L-main-threeshift-20c-01,0,1517.0684242319317,1517.0684242319317,3,1235.0,2752.0684242319317
PSO,570.0,6,0,True,L-main-threeshift-20c-01,0,1547.3146989693694,1547.3146989693694,4,569.9999999999998,2117.314698969369
PSO,95.0,1,0,True,L-main-threeshift-20c-01,0,1559.393916595934,1559.393916595934,5,95.0,1654.393916595934
VNS,285.0,3,0,True,L-main-threeshift-20c-01,0,1252.8059957321695,1252.8059957321695,1,285.0,1537.8059957321695
VNS,1425.0,15,0,True,L-main-threeshift-20c-01,0,1149.1659506036485,1149.1659506036485,2,1425.0,2574.1659506036485
VNS,665.0,7,0,True,L-main-threeshift-20c-01,0,1169.4790694607987,1169.4790694607987,3,665.0,1834.4790694607987
VNS,570.0,6,0,True,L-main-threeshift-20c-01,0,1139.5001849698672,1139.5001849698672,4,570.0,1709.5001849698672
VNS,570.0,6,0,True,L-main-threeshift-20c-01,0,1155.4302450221755,1155.4302450221755,5,570.0,1725.4302450221755
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-20c-01,0,1177.8073450246427,1177.8073450246427,1,475.0,1652.8073450246427
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-20c-01,0,1138.4777821932046,1138.4777821932046,2,285.0,1423.4777821932046
staged_hybrid_carbon_aware,1045.0,11,0,True,L-main-threeshift-20c-01,0,1211.2795813844964,1211.2795813844964,3,1045.0,2256.2795813844964
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-20c-01,0,1185.7272222575075,1185.7272222575075,4,475.0,1660.7272222575075
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-20c-01,0,1165.3646610456601,1165.3646610456601,5,285.0,1450.3646610456601
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-20c-01,0,1178.1086013486163,1178.1086013486163,1,475.0,1653.1086013486163
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-20c-01,0,1139.03946193022,1139.03946193022,2,285.0,1424.03946193022
staged_hybrid_carbon_naive,1045.0,11,0,True,L-main-threeshift-20c-01,0,1211.4806149912317,1211.4806149912317,3,1044.9999999999998,2256.4806149912315
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-20c-01,0,1186.311600070252,1186.311600070252,4,475.0,1661.311600070252
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-20c-01,0,1165.5182978290964,1165.5182978290964,5,285.0,1450.5182978290964
GA,570.0,6,0,True,L-main-threeshift-25c-01,0,1447.2023137537658,1447.2023137537658,1,570.0,2017.2023137537658
GA,665.0,7,0,True,L-main-threeshift-25c-01,0,1554.4419121135325,1554.4419121135325,2,665.0,2219.4419121135325
GA,285.0,3,0,True,L-main-threeshift-25c-01,0,1557.6420614238536,1557.6420614238536,3,285.0,1842.6420614238536
GA,190.0,2,0,True,L-main-threeshift-25c-01,0,1474.2659696318478,1474.2659696318478,4,190.0,1664.2659696318478
GA,1140.0,12,0,True,L-main-threeshift-25c-01,0,1424.3122255698402,1424.3122255698402,5,1139.9999999999998,2564.31222556984
LNS,475.0,5,0,True,L-main-threeshift-25c-01,0,1223.7106305249129,1223.7106305249129,1,475.0,1698.7106305249129
LNS,475.0,5,0,True,L-main-threeshift-25c-01,0,1200.825267226648,1200.825267226648,2,475.0,1675.825267226648
LNS,855.0,9,0,True,L-main-threeshift-25c-01,0,1233.7975948466305,1233.7975948466305,3,855.0,2088.7975948466305
LNS,760.0,8,0,True,L-main-threeshift-25c-01,0,1221.740501742608,1221.740501742608,4,760.0,1981.740501742608
LNS,665.0,7,0,True,L-main-threeshift-25c-01,0,1145.8880204929317,1145.8880204929317,5,665.0,1810.8880204929317
PSO,570.0,6,0,True,L-main-threeshift-25c-01,0,1600.4132429288964,1600.4132429288964,1,570.0000000000002,2170.4132429288966
PSO,1520.0,16,0,True,L-main-threeshift-25c-01,0,1527.3353106723198,1527.3353106723198,2,1520.0,3047.33531067232
PSO,1615.0,17,0,True,L-main-threeshift-25c-01,0,1576.934985007688,1576.934985007688,3,1614.9999999999998,3191.934985007688
PSO,570.0,6,0,True,L-main-threeshift-25c-01,0,1572.1925478435671,1572.1925478435671,4,569.9999999999998,2142.192547843567
PSO,1045.0,11,0,True,L-main-threeshift-25c-01,0,1504.247387427712,1504.247387427712,5,1045.0,2549.247387427712
